Класс;Остался жив;Имя;Пол;Возрастная группа (лет);Возраст (лет);Братья, Сестры, Супруги на борту;Родители, дети на борту;Стоимость проезда ($);Категория стоимости ($);Порт посадки;Лодка;Пункт следования
1;no;Porter, Mr. Walter Chamberlain;male;40 - 49;47;0;0;52;50;Southampton;;Worcester, MA
1;yes;Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);female;50 - 59;56;0;1;83,1583;80;Cherbourg;7;Mt Airy, Philadelphia, PA
1;no;Reuchlin, Jonkheer. John George;male;30 - 39;38;0;0;0;0;Southampton;;Rotterdam, Netherlands
1;yes;Rheims, Mr. George Alexander Lucien;male;unknown;;0;0;39,6;40;Southampton;A;Paris / New York, NY
1;no;Ringhini, Mr. Sante;male;20 - 29;22;0;0;135,6333;140;Cherbourg;;
1;no;Robbins, Mr. Victor;male;unknown;;0;0;227,525;230;Cherbourg;;
1;yes;Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);female;40 - 49;43;0;1;211,3375;210;Southampton;2;St Louis, MO
1;no;Roebling, Mr. Washington Augustus II;male;30 - 39;31;0;0;50,4958;50;Southampton;;Trenton, NJ
1;yes;"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";male;40 - 49;45;0;0;26,55;30;Southampton;9;New York, NY
1;no;Rood, Mr. Hugh Roscoe;male;unknown;;0;0;50;50;Southampton;;Seattle, WA
1;yes;Rosenbaum, Miss. Edith Louise;female;30 - 39;33;0;0;27,7208;30;Cherbourg;11;Paris, France
1;no;"Rosenshine, Mr. George (""Mr George Thorne"")";male;40 - 49;46;0;0;79,2;80;Cherbourg;;New York, NY
1;no;Ross, Mr. John Hugo;male;30 - 39;36;0;0;40,125;40;Cherbourg;;Winnipeg, MB
1;yes;Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);female;30 - 39;33;0;0;86,5;90;Southampton;8;London Vancouver, BC
1;no;Rothschild, Mr. Martin;male;50 - 59;55;1;0;59,4;60;Cherbourg;;New York, NY
1;yes;Rothschild, Mrs. Martin (Elizabeth L. Barrett);female;50 - 59;54;1;0;59,4;60;Cherbourg;6;New York, NY
1;no;Rowe, Mr. Alfred G;male;30 - 39;33;0;0;26,55;30;Southampton;;London
1;yes;Ryerson, Master. John Borie;male;10 - 19;13;2;2;262,375;260;Cherbourg;4;Haverford, PA / Cooperstown, NY
1;yes;Ryerson, Miss. Emily Borie;female;10 - 19;18;2;2;262,375;260;Cherbourg;4;Haverford, PA / Cooperstown, NY
1;yes;"Ryerson, Miss. Susan Parker ""Suzette""";female;20 - 29;21;2;2;262,375;260;Cherbourg;4;Haverford, PA / Cooperstown, NY
1;no;Ryerson, Mr. Arthur Larned;male;60 - 69;61;1;3;262,375;260;Cherbourg;;Haverford, PA / Cooperstown, NY
1;yes;Ryerson, Mrs. Arthur Larned (Emily Maria Borie);female;40 - 49;48;1;3;262,375;260;Cherbourg;4;Haverford, PA / Cooperstown, NY
1;yes;Saalfeld, Mr. Adolphe;male;unknown;;0;0;30,5;30;Southampton;3;Manchester, England
1;yes;Sagesser, Mlle. Emma;female;20 - 29;24;0;0;69,3;70;Cherbourg;9;
1;yes;Salomon, Mr. Abraham L;male;unknown;;0;0;26;30;Southampton;1;New York, NY
1;yes;Schabert, Mrs. Paul (Emma Mock);female;30 - 39;35;1;0;57,75;60;Cherbourg;11;New York, NY
1;yes;Serepeca, Miss. Augusta;female;30 - 39;30;0;0;31;30;Cherbourg;4;
1;yes;Seward, Mr. Frederic Kimber;male;30 - 39;34;0;0;26,55;30;Southampton;7;New York, NY
1;yes;Shutes, Miss. Elizabeth W;female;40 - 49;40;0;0;153,4625;150;Southampton;3;New York, NY / Greenwich CT
1;yes;Silverthorne, Mr. Spencer Victor;male;30 - 39;35;0;0;26,2875;30;Southampton;5;St Louis, MO
1;no;Silvey, Mr. William Baird;male;50 - 59;50;1;0;55,9;60;Southampton;;Duluth, MN
1;yes;Silvey, Mrs. William Baird (Alice Munger);female;30 - 39;39;1;0;55,9;60;Southampton;11;Duluth, MN
1;yes;Simonius-Blumer, Col. Oberst Alfons;male;50 - 59;56;0;0;35,5;40;Cherbourg;3;Basel, Switzerland
1;yes;Sloper, Mr. William Thompson;male;20 - 29;28;0;0;35,5;40;Southampton;7;New Britain, CT
1;no;Smart, Mr. John Montgomery;male;50 - 59;56;0;0;26,55;30;Southampton;;New York, NY
1;no;Smith, Mr. James Clinch;male;50 - 59;56;0;0;30,6958;30;Cherbourg;;St James, Long Island, NY
1;no;Smith, Mr. Lucien Philip;male;20 - 29;24;1;0;60;60;Southampton;;Huntington, WV
1;no;Smith, Mr. Richard William;male;unknown;;0;0;26;30;Southampton;;Streatham, Surrey
1;yes;Smith, Mrs. Lucien Philip (Mary Eloise Hughes);female;10 - 19;18;1;0;60;60;Southampton;6;Huntington, WV
1;yes;Snyder, Mr. John Pillsbury;male;20 - 29;24;1;0;82,2667;80;Southampton;7;Minneapolis, MN
1;yes;Snyder, Mrs. John Pillsbury (Nelle Stevenson);female;20 - 29;23;1;0;82,2667;80;Southampton;7;Minneapolis, MN
1;yes;Spedden, Master. Robert Douglas;male;0 - 9;6;0;2;134,5;130;Cherbourg;3;Tuxedo Park, NY
1;yes;Spedden, Mr. Frederic Oakley;male;40 - 49;45;1;1;134,5;130;Cherbourg;3;Tuxedo Park, NY
1;yes;Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);female;40 - 49;40;1;1;134,5;130;Cherbourg;3;Tuxedo Park, NY
1;no;Spencer, Mr. William Augustus;male;50 - 59;57;1;0;146,5208;150;Cherbourg;;Paris, France
1;yes;Spencer, Mrs. William Augustus (Marie Eugenie);female;unknown;;1;0;146,5208;150;Cherbourg;6;Paris, France
1;yes;Stahelin-Maeglin, Dr. Max;male;30 - 39;32;0;0;30,5;30;Cherbourg;3;Basel, Switzerland
1;no;Stead, Mr. William Thomas;male;60 - 69;62;0;0;26,55;30;Southampton;;Wimbledon Park, London / Hayling Island, Hants
1;yes;Stengel, Mr. Charles Emil Henry;male;50 - 59;54;1;0;55,4417;60;Cherbourg;1;Newark, NJ
1;yes;Stengel, Mrs. Charles Emil Henry (Annie May Morris);female;40 - 49;43;1;0;55,4417;60;Cherbourg;5;Newark, NJ
1;yes;Stephenson, Mrs. Walter Bertram (Martha Eustis);female;50 - 59;52;1;0;78,2667;80;Cherbourg;4;Haverford, PA
1;no;Stewart, Mr. Albert A;male;unknown;;0;0;27,7208;30;Cherbourg;;Gallipolis, Ohio / ? Paris / New York
1;yes;Stone, Mrs. George Nelson (Martha Evelyn);female;60 - 69;62;0;0;80;80;;6;Cincinatti, OH
1;no;Straus, Mr. Isidor;male;60 - 69;67;1;0;221,7792;220;Southampton;;New York, NY
1;no;Straus, Mrs. Isidor (Rosalie Ida Blun);female;60 - 69;63;1;0;221,7792;220;Southampton;;New York, NY
1;no;Sutton, Mr. Frederick;male;60 - 69;61;0;0;32,3208;30;Southampton;;Haddenfield, NJ
1;yes;Swift, Mrs. Frederick Joel (Margaret Welles Barron);female;40 - 49;48;0;0;25,9292;30;Southampton;8;Brooklyn, NY
1;yes;Taussig, Miss. Ruth;female;10 - 19;18;0;2;79,65;80;Southampton;8;New York, NY
1;no;Taussig, Mr. Emil;male;50 - 59;52;1;1;79,65;80;Southampton;;New York, NY
1;yes;Taussig, Mrs. Emil (Tillie Mandelbaum);female;30 - 39;39;1;1;79,65;80;Southampton;8;New York, NY
1;yes;Taylor, Mr. Elmer Zebley;male;40 - 49;48;1;0;52;50;Southampton;5 7;London / East Orange, NJ
1;yes;Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright);female;unknown;;1;0;52;50;Southampton;5 7;London / East Orange, NJ
1;no;Thayer, Mr. John Borland;male;40 - 49;49;1;1;110,8833;110;Cherbourg;;Haverford, PA
1;yes;Thayer, Mr. John Borland Jr;male;10 - 19;17;0;2;110,8833;110;Cherbourg;B;Haverford, PA
1;yes;Thayer, Mrs. John Borland (Marian Longstreth Morris);female;30 - 39;39;1;1;110,8833;110;Cherbourg;4;Haverford, PA
1;yes;Thorne, Mrs. Gertrude Maybelle;female;unknown;;0;0;79,2;80;Cherbourg;D;New York, NY
1;yes;Tucker, Mr. Gilbert Milligan Jr;male;30 - 39;31;0;0;28,5375;30;Cherbourg;7;Albany, NY
1;no;Uruchurtu, Don. Manuel E;male;40 - 49;40;0;0;27,7208;30;Cherbourg;;Mexico City, Mexico
1;no;Van der hoef, Mr. Wyckoff;male;60 - 69;61;0;0;33,5;30;Southampton;;Brooklyn, NY
1;no;Walker, Mr. William Anderson;male;40 - 49;47;0;0;34,0208;30;Southampton;;East Orange, NJ
1;yes;Ward, Miss. Anna;female;30 - 39;35;0;0;512,3292;510;Cherbourg;3;
1;no;Warren, Mr. Frank Manley;male;60 - 69;64;1;0;75,25;80;Cherbourg;;Portland, OR
1;yes;Warren, Mrs. Frank Manley (Anna Sophia Atkinson);female;60 - 69;60;1;0;75,25;80;Cherbourg;5;Portland, OR
1;no;Weir, Col. John;male;60 - 69;60;0;0;26,55;30;Southampton;;England Salt Lake City, Utah
1;no;White, Mr. Percival Wayland;male;50 - 59;54;0;1;77,2875;80;Southampton;;Brunswick, ME
1;no;White, Mr. Richard Frasar;male;20 - 29;21;0;1;77,2875;80;Southampton;;Brunswick, ME
1;yes;White, Mrs. John Stuart (Ella Holmes);female;50 - 59;55;0;0;135,6333;140;Cherbourg;8;New York, NY / Briarcliff Manor NY
1;yes;Wick, Miss. Mary Natalie;female;30 - 39;31;0;2;164,8667;160;Southampton;8;Youngstown, OH
1;no;Wick, Mr. George Dennick;male;50 - 59;57;1;1;164,8667;160;Southampton;;Youngstown, OH
1;yes;Wick, Mrs. George Dennick (Mary Hitchcock);female;40 - 49;45;1;1;164,8667;160;Southampton;8;Youngstown, OH
1;no;Widener, Mr. George Dunton;male;50 - 59;50;1;1;211,5;210;Cherbourg;;Elkins Park, PA
1;no;Widener, Mr. Harry Elkins;male;20 - 29;27;0;2;211,5;210;Cherbourg;;Elkins Park, PA
1;yes;Widener, Mrs. George Dunton (Eleanor Elkins);female;50 - 59;50;1;1;211,5;210;Cherbourg;4;Elkins Park, PA
1;yes;Willard, Miss. Constance;female;20 - 29;21;0;0;26,55;30;Southampton;8 10;Duluth, MN
1;no;Williams, Mr. Charles Duane;male;50 - 59;51;0;1;61,3792;60;Cherbourg;;Geneva, Switzerland / Radnor, PA
1;yes;Williams, Mr. Richard Norris II;male;20 - 29;21;0;1;61,3792;60;Cherbourg;A;Geneva, Switzerland / Radnor, PA
1;no;Williams-Lambert, Mr. Fletcher Fellows;male;unknown;;0;0;35;40;Southampton;;London, England
1;yes;Wilson, Miss. Helen Alice;female;30 - 39;31;0;0;134,5;130;Cherbourg;3;
1;yes;Woolner, Mr. Hugh;male;unknown;;0;0;35,5;40;Southampton;D;London, England
1;no;Wright, Mr. George;male;60 - 69;62;0;0;26,55;30;Southampton;;Halifax, NS
1;yes;Young, Miss. Marie Grice;female;30 - 39;36;0;0;135,6333;140;Cherbourg;8;New York, NY / Washington, DC
2;no;Abelson, Mr. Samuel;male;30 - 39;30;1;0;24;20;Cherbourg;;Russia New York, NY
2;yes;Abelson, Mrs. Samuel (Hannah Wizosky);female;20 - 29;28;1;0;24;20;Cherbourg;10;Russia New York, NY
2;no;Aldworth, Mr. Charles Augustus;male;30 - 39;30;0;0;13;10;Southampton;;Bryn Mawr, PA, USA
2;no;Andrew, Mr. Edgardo Samuel;male;10 - 19;18;0;0;11,5;10;Southampton;;Buenos Aires, Argentina / New Jersey, NJ
2;no;Andrew, Mr. Frank Thomas;male;20 - 29;25;0;0;10,5;10;Southampton;;Cornwall, England Houghton, MI
2;no;Angle, Mr. William A;male;30 - 39;34;1;0;26;30;Southampton;;Warwick, England
2;yes;"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)";female;30 - 39;36;1;0;26;30;Southampton;11;Warwick, England
2;no;Ashby, Mr. John;male;50 - 59;57;0;0;13;10;Southampton;;West Hoboken, NJ
2;no;Bailey, Mr. Percy Andrew;male;10 - 19;18;0;0;11,5;10;Southampton;;Penzance, Cornwall / Akron, OH
2;no;Baimbrigge, Mr. Charles Robert;male;20 - 29;23;0;0;10,5;10;Southampton;;Guernsey
2;yes;Ball, Mrs. (Ada E Hall);female;30 - 39;36;0;0;13;10;Southampton;10;Bristol, Avon / Jacksonville, FL
2;no;Banfield, Mr. Frederick James;male;20 - 29;28;0;0;10,5;10;Southampton;;Plymouth, Dorset / Houghton, MI
2;no;Bateman, Rev. Robert James;male;50 - 59;51;0;0;12,525;10;Southampton;;Jacksonville, FL
2;yes;Beane, Mr. Edward;male;30 - 39;32;1;0;26;30;Southampton;13;Norwich / New York, NY
2;yes;Beane, Mrs. Edward (Ethel Clarke);female;10 - 19;19;1;0;26;30;Southampton;13;Norwich / New York, NY
2;no;Beauchamp, Mr. Henry James;male;20 - 29;28;0;0;26;30;Southampton;;England
2;yes;Becker, Master. Richard F;male;0 - 9;1;2;1;39;40;Southampton;11;Guntur, India / Benton Harbour, MI
2;yes;Becker, Miss. Marion Louise;female;0 - 9;4;2;1;39;40;Southampton;11;Guntur, India / Benton Harbour, MI
2;yes;Becker, Miss. Ruth Elizabeth;female;10 - 19;12;2;1;39;40;Southampton;13;Guntur, India / Benton Harbour, MI
2;yes;Becker, Mrs. Allen Oliver (Nellie E Baumgardner);female;30 - 39;36;0;3;39;40;Southampton;11;Guntur, India / Benton Harbour, MI
2;yes;Beesley, Mr. Lawrence;male;30 - 39;34;0;0;13;10;Southampton;13;London
2;yes;Bentham, Miss. Lilian W;female;10 - 19;19;0;0;13;10;Southampton;12;Rochester, NY
2;no;Berriman, Mr. William John;male;20 - 29;23;0;0;13;10;Southampton;;St Ives, Cornwall / Calumet, MI
2;no;Botsford, Mr. William Hull;male;20 - 29;26;0;0;13;10;Southampton;;Elmira, NY / Orange, NJ
2;no;Bowenur, Mr. Solomon;male;40 - 49;42;0;0;13;10;Southampton;;London
2;no;Bracken, Mr. James H;male;20 - 29;27;0;0;13;10;Southampton;;Lake Arthur, Chavez County, NM
2;yes;"Brown, Miss. Amelia ""Mildred""";female;20 - 29;24;0;0;13;10;Southampton;11;London / Montreal, PQ
2;yes;Brown, Miss. Edith Eileen;female;10 - 19;15;0;2;39;40;Southampton;14;Cape Town, South Africa / Seattle, WA
2;no;Brown, Mr. Thomas William Solomon;male;60 - 69;60;1;1;39;40;Southampton;;Cape Town, South Africa / Seattle, WA
2;yes;Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);female;40 - 49;40;1;1;39;40;Southampton;14;Cape Town, South Africa / Seattle, WA
2;yes;Bryhl, Miss. Dagmar Jenny Ingeborg;female;20 - 29;20;1;0;26;30;Southampton;12;Skara, Sweden / Rockford, IL
2;no;Bryhl, Mr. Kurt Arnold Gottfrid;male;20 - 29;25;1;0;26;30;Southampton;;Skara, Sweden / Rockford, IL
2;yes;Buss, Miss. Kate;female;30 - 39;36;0;0;13;10;Southampton;9;Sittingbourne, England / San Diego, CA
2;no;Butler, Mr. Reginald Fenton;male;20 - 29;25;0;0;13;10;Southampton;;Southsea, Hants
2;no;Byles, Rev. Thomas Roussel Davids;male;40 - 49;42;0;0;13;10;Southampton;;London
2;yes;Bystrom, Mrs. (Karolina);female;40 - 49;42;0;0;13;10;Southampton;;New York, NY
2;yes;Caldwell, Master. Alden Gates;male;0 - 9;0,8333;0;2;29;30;Southampton;13;Bangkok, Thailand / Roseville, IL
2;yes;Caldwell, Mr. Albert Francis;male;20 - 29;26;1;1;29;30;Southampton;13;Bangkok, Thailand / Roseville, IL
2;yes;Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);female;20 - 29;22;1;1;29;30;Southampton;13;Bangkok, Thailand / Roseville, IL
2;yes;Cameron, Miss. Clear Annie;female;30 - 39;35;0;0;21;20;Southampton;14;Mamaroneck, NY
2;no;Campbell, Mr. William;male;unknown;;0;0;0;0;Southampton;;Belfast
2;no;Carbines, Mr. William;male;10 - 19;19;0;0;13;10;Southampton;;St Ives, Cornwall / Calumet, MI
2;no;Carter, Mrs. Ernest Courtenay (Lilian Hughes);female;40 - 49;44;1;0;26;30;Southampton;;London
2;no;Carter, Rev. Ernest Courtenay;male;50 - 59;54;1;0;26;30;Southampton;;London
2;no;Chapman, Mr. Charles Henry;male;50 - 59;52;0;0;13,5;10;Southampton;;Bronx, NY
2;no;Chapman, Mr. John Henry;male;30 - 39;37;1;0;26;30;Southampton;;Cornwall / Spokane, WA
2;no;Chapman, Mrs. John Henry (Sara Elizabeth Lawry);female;20 - 29;29;1;0;26;30;Southampton;;Cornwall / Spokane, WA
2;yes;Christy, Miss. Julie Rachel;female;20 - 29;25;1;1;30;30;Southampton;12;London
2;yes;Christy, Mrs. (Alice Frances);female;40 - 49;45;0;2;30;30;Southampton;12;London
2;no;Clarke, Mr. Charles Valentine;male;20 - 29;29;1;0;26;30;Southampton;;England / San Francisco, CA
2;yes;Clarke, Mrs. Charles V (Ada Maria Winfield);female;20 - 29;28;1;0;26;30;Southampton;14;England / San Francisco, CA
2;no;Coleridge, Mr. Reginald Charles;male;20 - 29;29;0;0;10,5;10;Southampton;;Hartford, Huntingdonshire
2;no;Collander, Mr. Erik Gustaf;male;20 - 29;28;0;0;13;10;Southampton;;Helsinki, Finland Ashtabula, Ohio
2;yes;Collett, Mr. Sidney C Stuart;male;20 - 29;24;0;0;10,5;10;Southampton;9;London / Fort Byron, NY
2;yes;"Collyer, Miss. Marjorie ""Lottie""";female;0 - 9;8;0;2;26,25;30;Southampton;14;Bishopstoke, Hants / Fayette Valley, ID
2;no;Collyer, Mr. Harvey;male;30 - 39;31;1;1;26,25;30;Southampton;;Bishopstoke, Hants / Fayette Valley, ID
2;yes;Collyer, Mrs. Harvey (Charlotte Annie Tate);female;30 - 39;31;1;1;26,25;30;Southampton;14;Bishopstoke, Hants / Fayette Valley, ID
2;yes;Cook, Mrs. (Selena Rogers);female;20 - 29;22;0;0;10,5;10;Southampton;14;Pennsylvania
2;no;Corbett, Mrs. Walter H (Irene Colvin);female;30 - 39;30;0;0;13;10;Southampton;;Provo, UT
2;no;Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller);female;unknown;;0;0;21;20;Southampton;;Upper Burma, India Pittsburgh, PA
2;no;"Cotterill, Mr. Henry ""Harry""";male;20 - 29;21;0;0;11,5;10;Southampton;;Penzance, Cornwall / Akron, OH
2;no;Cunningham, Mr. Alfred Fleming;male;unknown;;0;0;0;0;Southampton;;Belfast
2;yes;Davies, Master. John Morgan Jr;male;0 - 9;8;1;1;36,75;40;Southampton;14;St Ives, Cornwall / Hancock, MI
2;no;Davies, Mr. Charles Henry;male;10 - 19;18;0;0;73,5;70;Southampton;;Lyndhurst, England
2;yes;Davies, Mrs. John Morgan (Elizabeth Agnes Mary White);female;40 - 49;48;0;2;36,75;40;Southampton;14;St Ives, Cornwall / Hancock, MI
2;yes;Davis, Miss. Mary;female;20 - 29;28;0;0;13;10;Southampton;13;London / Staten Island, NY
2;no;de Brito, Mr. Jose Joaquim;male;30 - 39;32;0;0;13;10;Southampton;;Portugal / Sau Paulo, Brazil
2;no;Deacon, Mr. Percy William;male;10 - 19;17;0;0;73,5;70;Southampton;;
2;no;del Carlo, Mr. Sebastiano;male;20 - 29;29;1;0;27,7208;30;Cherbourg;;Lucca, Italy / California
2;yes;del Carlo, Mrs. Sebastiano (Argenia Genovesi);female;20 - 29;24;1;0;27,7208;30;Cherbourg;12;Lucca, Italy / California
2;no;Denbury, Mr. Herbert;male;20 - 29;25;0;0;31,5;30;Southampton;;Guernsey / Elizabeth, NJ
2;no;Dibden, Mr. William;male;10 - 19;18;0;0;73,5;70;Southampton;;New Forest, England
2;yes;Doling, Miss. Elsie;female;10 - 19;18;0;1;23;20;Southampton;;Southampton
2;yes;Doling, Mrs. John T (Ada Julia Bone);female;30 - 39;34;0;1;23;20;Southampton;;Southampton
2;no;Downton, Mr. William James;male;50 - 59;54;0;0;26;30;Southampton;;Holley, NY
2;yes;Drew, Master. Marshall Brines;male;0 - 9;8;0;2;32,5;30;Southampton;10;Greenport, NY
2;no;Drew, Mr. James Vivian;male;40 - 49;42;1;1;32,5;30;Southampton;;Greenport, NY
2;yes;Drew, Mrs. James Vivian (Lulu Thorne Christian);female;30 - 39;34;1;1;32,5;30;Southampton;10;Greenport, NY
2;yes;Duran y More, Miss. Asuncion;female;20 - 29;27;1;0;13,8583;10;Cherbourg;12;Barcelona, Spain / Havana, Cuba
2;yes;Duran y More, Miss. Florentina;female;30 - 39;30;1;0;13,8583;10;Cherbourg;12;Barcelona, Spain / Havana, Cuba
2;no;Eitemiller, Mr. George Floyd;male;20 - 29;23;0;0;13;10;Southampton;;England / Detroit, MI
2;no;Enander, Mr. Ingvar;male;20 - 29;21;0;0;13;10;Southampton;;Goteborg, Sweden / Rockford, IL
2;no;Fahlstrom, Mr. Arne Jonas;male;10 - 19;18;0;0;13;10;Southampton;;Oslo, Norway Bayonne, NJ
2;no;Faunthorpe, Mr. Harry;male;40 - 49;40;1;0;26;30;Southampton;;England / Philadelphia, PA
2;yes;Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);female;20 - 29;29;1;0;26;30;Southampton;16;
2;no;Fillbrook, Mr. Joseph Charles;male;10 - 19;18;0;0;10,5;10;Southampton;;Cornwall / Houghton, MI
2;no;Fox, Mr. Stanley Hubert;male;30 - 39;36;0;0;13;10;Southampton;;Rochester, NY
2;no;"Frost, Mr. Anthony Wood ""Archie""";male;unknown;;0;0;0;0;Southampton;;Belfast
2;no;Funk, Miss. Annie Clemmer;female;30 - 39;38;0;0;13;10;Southampton;;Janjgir, India / Pennsylvania
2;no;Fynney, Mr. Joseph J;male;30 - 39;35;0;0;26;30;Southampton;;Liverpool / Montreal, PQ
2;no;Gale, Mr. Harry;male;30 - 39;38;1;0;21;20;Southampton;;Cornwall / Clear Creek, CO
2;no;Gale, Mr. Shadrach;male;30 - 39;34;1;0;21;20;Southampton;;Cornwall / Clear Creek, CO
2;yes;Garside, Miss. Ethel;female;30 - 39;34;0;0;13;10;Southampton;12;Brooklyn, NY
2;no;Gaskell, Mr. Alfred;male;10 - 19;16;0;0;26;30;Southampton;;Liverpool / Montreal, PQ
2;no;Gavey, Mr. Lawrence;male;20 - 29;26;0;0;10,5;10;Southampton;;Guernsey / Elizabeth, NJ
2;no;Gilbert, Mr. William;male;40 - 49;47;0;0;10,5;10;Southampton;;Cornwall
2;no;Giles, Mr. Edgar;male;20 - 29;21;1;0;11,5;10;Southampton;;Cornwall / Camden, NJ
2;no;Giles, Mr. Frederick Edward;male;20 - 29;21;1;0;11,5;10;Southampton;;Cornwall / Camden, NJ
2;no;Giles, Mr. Ralph;male;20 - 29;24;0;0;13,5;10;Southampton;;West Kensington, London
2;no;Gill, Mr. John William;male;20 - 29;24;0;0;13;10;Southampton;;Clevedon, England
2;no;Gillespie, Mr. William Henry;male;30 - 39;34;0;0;13;10;Southampton;;Vancouver, BC
2;no;Givard, Mr. Hans Kristensen;male;30 - 39;30;0;0;13;10;Southampton;;
2;no;Greenberg, Mr. Samuel;male;50 - 59;52;0;0;13;10;Southampton;;Bronx, NY
2;no;Hale, Mr. Reginald;male;30 - 39;30;0;0;13;10;Southampton;;Auburn, NY
2;yes;Hamalainen, Master. Viljo;male;0 - 9;0,6667;1;1;14,5;10;Southampton;4;Detroit, MI
2;yes;Hamalainen, Mrs. William (Anna);female;20 - 29;24;0;2;14,5;10;Southampton;4;Detroit, MI
2;no;Harbeck, Mr. William H;male;40 - 49;44;0;0;13;10;Southampton;;Seattle, WA / Toledo, OH
2;yes;"Harper, Miss. Annie Jessie ""Nina""";female;0 - 9;6;0;1;33;30;Southampton;11;Denmark Hill, Surrey / Chicago
2;no;Harper, Rev. John;male;20 - 29;28;0;1;33;30;Southampton;;Denmark Hill, Surrey / Chicago
2;yes;Harris, Mr. George;male;60 - 69;62;0;0;10,5;10;Southampton;15;London
2;no;Harris, Mr. Walter;male;30 - 39;30;0;0;10,5;10;Southampton;;Walthamstow, England
2;yes;Hart, Miss. Eva Miriam;female;0 - 9;7;0;2;26,25;30;Southampton;14;Ilford, Essex / Winnipeg, MB
2;no;Hart, Mr. Benjamin;male;40 - 49;43;1;1;26,25;30;Southampton;;Ilford, Essex / Winnipeg, MB
2;yes;Hart, Mrs. Benjamin (Esther Ada Bloomfield);female;40 - 49;45;1;1;26,25;30;Southampton;14;Ilford, Essex / Winnipeg, MB
2;yes;Herman, Miss. Alice;female;20 - 29;24;1;2;65;70;Southampton;9;Somerset / Bernardsville, NJ
2;yes;Herman, Miss. Kate;female;20 - 29;24;1;2;65;70;Southampton;9;Somerset / Bernardsville, NJ
2;no;Herman, Mr. Samuel;male;40 - 49;49;1;2;65;70;Southampton;;Somerset / Bernardsville, NJ
2;yes;Herman, Mrs. Samuel (Jane Laver);female;40 - 49;48;1;2;65;70;Southampton;9;Somerset / Bernardsville, NJ
2;yes;Hewlett, Mrs. (Mary D Kingcome);female;50 - 59;55;0;0;16;20;Southampton;13;India / Rapid City, SD
2;no;Hickman, Mr. Leonard Mark;male;20 - 29;24;2;0;73,5;70;Southampton;;West Hampstead, London / Neepawa, MB
2;no;Hickman, Mr. Lewis;male;30 - 39;32;2;0;73,5;70;Southampton;;West Hampstead, London / Neepawa, MB
2;no;Hickman, Mr. Stanley George;male;20 - 29;21;2;0;73,5;70;Southampton;;West Hampstead, London / Neepawa, MB
2;no;Hiltunen, Miss. Marta;female;10 - 19;18;1;1;13;10;Southampton;;Kontiolahti, Finland / Detroit, MI
2;yes;"Hocking, Miss. Ellen ""Nellie""";female;20 - 29;20;2;1;23;20;Southampton;4;Cornwall / Akron, OH
2;no;Hocking, Mr. Richard George;male;20 - 29;23;2;1;11,5;10;Southampton;;Cornwall / Akron, OH
2;no;Hocking, Mr. Samuel James Metcalfe;male;30 - 39;36;0;0;13;10;Southampton;;Devonport, England
2;yes;Hocking, Mrs. Elizabeth (Eliza Needs);female;50 - 59;54;1;3;23;20;Southampton;4;Cornwall / Akron, OH
2;no;Hodges, Mr. Henry Price;male;50 - 59;50;0;0;13;10;Southampton;;Southampton
2;no;Hold, Mr. Stephen;male;40 - 49;44;1;0;26;30;Southampton;;England / Sacramento, CA
2;yes;Hold, Mrs. Stephen (Annie Margaret Hill);female;20 - 29;29;1;0;26;30;Southampton;10;England / Sacramento, CA
2;no;Hood, Mr. Ambrose Jr;male;20 - 29;21;0;0;73,5;70;Southampton;;New Forest, England
2;yes;Hosono, Mr. Masabumi;male;40 - 49;42;0;0;13;10;Southampton;10;Tokyo, Japan
2;no;Howard, Mr. Benjamin;male;60 - 69;63;1;0;26;30;Southampton;;Swindon, England
2;no;Howard, Mrs. Benjamin (Ellen Truelove Arman);female;60 - 69;60;1;0;26;30;Southampton;;Swindon, England
2;no;Hunt, Mr. George Henry;male;30 - 39;33;0;0;12,275;10;Southampton;;Philadelphia, PA
2;yes;Ilett, Miss. Bertha;female;10 - 19;17;0;0;10,5;10;Southampton;;Guernsey
2;no;Jacobsohn, Mr. Sidney Samuel;male;40 - 49;42;1;0;27;30;Southampton;;London
2;yes;Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);female;20 - 29;24;2;1;27;30;Southampton;12;London
2;no;Jarvis, Mr. John Denzil;male;40 - 49;47;0;0;15;20;Southampton;;North Evington, England
2;no;Jefferys, Mr. Clifford Thomas;male;20 - 29;24;2;0;31,5;30;Southampton;;Guernsey / Elizabeth, NJ
2;no;Jefferys, Mr. Ernest Wilfred;male;20 - 29;22;2;0;31,5;30;Southampton;;Guernsey / Elizabeth, NJ
